1,1,1,1,1,0,2,1,0,2,0,1,1,0,1,1,1,1,0,1,1,1,2,1,6,7,1,1,0,0,1,1,2,0,0,1,1,0,0,0,2,0,1,0,1,1,1,2,1,5,1,0,2,1,2,2,1,1,1,1,0,1,1,0,
1,0,0,1,2,1,0,1,1,2,2,1,1,1,1,1,2,1,1,1,0,2,0,1,2,2,1,1,1,1,2,1,0,0,1,1,2,1,1,1,1,1,1,0,1,1,2,1,1,2,2,1,2,0,4,2,3,8,1,1,2,2,0,1,
0,0,2,0,1,1,0,1,1,0,1,1,1,0,0,2,2,3,1,0,1,5,1,0,2,1,1,1,1,0,1,0,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,2,1,0,1,1,2,1,2,3,1,0,0,1,0,1,1,1,
1,1,3,0,1,2,0,1,3,0,2,2,1,3,2,24,18,8,3,1,0,1,1,1,0,2,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,2,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,2,
6,2,2,1,2,1,1,4,1,2,2,0,0,4,6,61,15,2,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1,1,1,2,1,3,
11,4,3,2,1,11,13,5,3,1,0,1,1,1,3,6,6,12,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,2,2,1,1,3,1,2,0,2,1,2,1,11,
2,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,5,0,1,1,1,
1,0,1,1,1,0,1,1,1,0,0,0,0,1,3,4,2,5,1,1,2,1,0,1,1,0,1,0,0,2,0,1,1,0,0,1,1,2,1,1,1,2,3,0,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,3,1,0,
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,10,1,3,3,3,2,0,1,1,2,0,1,1,3,2,4,1,0,0,1,0,2,1,1,0,0,1,2,2,1,3,1,0,1,1,1,1,0,1,1,1,0,1,2,0,4,1,1,0,
0,1,2,1,0,0,1,0,0,0,0,0,1,1,2,1,1,1,2,0,1,1,0,2,1,1,1,0,1,3,4,2,6,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,1,1,1,0,0,
